receptor,pdb,uniprot,state,ligand,publication,condition/rep,sherlock_path,top_dir,traj_dir,filetype,sim_tool,strip_water,vmd_chain_id,mdtraj_chain_id,short_exp_cond_description,long_exp_cond_description,3.5A_inter_dict_dir,3.2A_inter_dict_dir,subsampled_traj,ligand_resn
B2AR,2RH1,adrb2_human,inactive,carazalol,"Nygaard et al., Cell 2013",12,/scratch/PI/rondror/DesRes-Simulations/ordered-from-DesRes/cell2013b/DESRES-Trajectory_cell2013b-sim12-all.1/cell2013b-sim12-all,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/B2AR-inactive-carazalol-cell2013b/condition-12,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/B2AR-inactive-carazalol-cell2013b/condition-12/rep_1,dcd,anton,yes,A,0,B2AR-inactive-carazalol-cell2013b-cond12-rep_1,"B2AR:inactive:carazalol:10us:D79-,D130-",/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/B2AR-inactive-carazalol-cell2013b/condition-12/rep_1/050516_NONHB_DEFAULT_HB_3.5_70,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/B2AR-inactive-carazalol-cell2013b/condition-12/rep_1/050616_NONHB_DEFAULT_HB_3.2_70,/scratch/PI/rondror/DesRes-Simulations/subsampled_desres_traj/B2AR-inactive-carazalol-cell2013b/condition-12/rep_1,CAU
B2AR,3P0G,adrb2_human,active-Nb,BI,"Dror et al., PNAS 2011b",Q-1,/scratch/PI/rondror/DesRes-Simulations/ordered-from-DesRes/pnas2011b/DESRES-Trajectory_pnas2011b-Q-all.1/DESRES-Trajectory_pnas2011b-Q-00-all/pnas2011b-Q-00-all,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/B2AR-active-Nb-BI-pnas2011b/condition-Q,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/B2AR-active-Nb-BI-pnas2011b/condition-Q/rep_1,dcd,anton,yes,A,0,B2AR-active-Nb-BI-pnas2011b-condQ-rep_1,"B2AR:active:agonist-bound-nanobody-complex:3.6us:D70+,D130+,H172+,C341_palm",/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/B2AR-active-Nb-BI-pnas2011b/condition-Q/rep_1/050516_NONHB_DEFAULT_HB_3.5_70,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/B2AR-active-Nb-BI-pnas2011b/condition-Q/rep_1/050616_NONHB_DEFAULT_HB_3.2_70,/scratch/PI/rondror/DesRes-Simulations/subsampled_desres_traj/B2AR-active-Nb-BI-pnas2011b/condition-Q/rep_1,BIA
B2AR,3P0G,adrb2_human,active-Nb,BI,"Dror et al., PNAS 2011b",Q-2,/scratch/PI/rondror/DesRes-Simulations/ordered-from-DesRes/pnas2011b/DESRES-Trajectory_pnas2011b-Q-all.1/DESRES-Trajectory_pnas2011b-Q-01-all/pnas2011b-Q-01-all,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/B2AR-active-Nb-BI-pnas2011b/condition-Q,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/B2AR-active-Nb-BI-pnas2011b/condition-Q/rep_2,dcd,anton,yes,A,0,B2AR-active-Nb-BI-pnas2011b-condQ-rep_2,"B2AR:active:agonist-bound-nanobody-complex:6.5us:D70+,D130+,H172+,C341_palm",/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/B2AR-active-Nb-BI-pnas2011b/condition-Q/rep_2/050516_NONHB_DEFAULT_HB_3.5_70,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/B2AR-active-Nb-BI-pnas2011b/condition-Q/rep_2/050616_NONHB_DEFAULT_HB_3.2_70,/scratch/PI/rondror/DesRes-Simulations/subsampled_desres_traj/B2AR-active-Nb-BI-pnas2011b/condition-Q/rep_2,BIA
B2AR,3SN6,adrb2_human,active-Gs,BI,"Dror et al., Science 2015",22,/scratch/PI/rondror/DesRes-Simulations/Downloaded/Gprot_Science2015_Dror_Desres/science2015/DESRES-Trajectory_science2015-22-all/science2015-22-all,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/B2AR-active-Gs-BI-science2015/condition-22,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/B2AR-active-Gs-BI-science2015/condition-22/rep_1,dcd,anton,yes,R,3,B2AR-active-Gs-BI-science2015-cond22-rep_1,B2AR:active:long-isoform-B2AR-heterotrimeric-Gs:no_ligand:50us:with_membrane,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/B2AR-active-Gs-BI-science2015/condition-22/rep_1/050516_NONHB_DEFAULT_HB_3.5_70,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/B2AR-active-Gs-BI-science2015/condition-22/rep_1/050616_NONHB_DEFAULT_HB_3.2_70,/scratch/PI/rondror/DesRes-Simulations/subsampled_desres_traj/B2AR-active-Gs-BI-science2015/condition-22/rep_1,P0G
B2AR,3SN6,adrb2_human,active-Gs,BI,"Dror et al., Science 2015",23,/scratch/PI/rondror/DesRes-Simulations/Downloaded/Gprot_Science2015_Dror_Desres/science2015/DESRES-Trajectory_science2015-23-all/science2015-23-all,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/B2AR-active-Gs-BI-science2015/condition-23,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/B2AR-active-Gs-BI-science2015/condition-23/rep_1,dcd,anton,yes,R,3,B2AR-active-Gs-BI-science2015-cond23-rep_1,B2AR:active:long-isoform-B2AR-heterotrimeric-Gs:no_ligand:10us:with_membrane,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/B2AR-active-Gs-BI-science2015/condition-23/rep_1/050516_NONHB_DEFAULT_HB_3.5_70,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/B2AR-active-Gs-BI-science2015/condition-23/rep_1/050616_NONHB_DEFAULT_HB_3.2_70,/scratch/PI/rondror/DesRes-Simulations/subsampled_desres_traj/B2AR-active-Gs-BI-science2015/condition-23/rep_1,P0G
B2AR,3SN6,adrb2_human,active-Gs,BI,"Dror et al., Science 2015",24,/scratch/PI/rondror/DesRes-Simulations/Downloaded/Gprot_Science2015_Dror_Desres/science2015/DESRES-Trajectory_science2015-24-all/science2015-24-all,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/B2AR-active-Gs-BI-science2015/condition-24,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/B2AR-active-Gs-BI-science2015/condition-24/rep_1,dcd,anton,yes,R,3,B2AR-active-Gs-BI-science2015-cond24-rep_1,B2AR:active:long-isoform-B2AR-heterotrimeric-Gs:no_ligand:10.0us:with_membrane,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/B2AR-active-Gs-BI-science2015/condition-24/rep_1/050516_NONHB_DEFAULT_HB_3.5_70,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/B2AR-active-Gs-BI-science2015/condition-24/rep_1/050616_NONHB_DEFAULT_HB_3.2_70,/scratch/PI/rondror/DesRes-Simulations/subsampled_desres_traj/B2AR-active-Gs-BI-science2015/condition-24/rep_1,P0G
B2AR,3SN6,adrb2_human,active-Gs,BI,"Dror et al., Science 2015",65,/scratch/PI/rondror/DesRes-Simulations/Downloaded/Gprot_Science2015_Dror_Desres/science2015/DESRES-Trajectory_science2015-65-all/science2015-65-all,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/B2AR-active-Gs-BI-science2015/condition-65,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/B2AR-active-Gs-BI-science2015/condition-65/rep_1,dcd,anton,yes,R,3,B2AR-active-Gs-BI-science2015-cond65-rep_1,B2AR:active:short-isoform-B2AR-heterotrimeric-Gs:no_ligand:5us:with_membrane,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/B2AR-active-Gs-BI-science2015/condition-65/rep_1/050516_NONHB_DEFAULT_HB_3.5_70,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/B2AR-active-Gs-BI-science2015/condition-65/rep_1/050616_NONHB_DEFAULT_HB_3.2_70,/scratch/PI/rondror/DesRes-Simulations/subsampled_desres_traj/B2AR-active-Gs-BI-science2015/condition-65/rep_1,P0G
D4R,D4DR,drd4_human,inactive,nemanopride,unpublished,antagonist-bound-1,/scratch/PI/rondror/MD_simulations/amber/robin_D4_dopamine/nemonapride/deprotonated/production/03/1,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/D4R-inactive-nemanopride-unpublished/condition-antagonist-bound,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/D4R-inactive-nemanopride-unpublished/condition-antagonist-bound/rep_1,nc,amber,no,A,3,D4R-inactive-nemanopride-unpublished-cond-antagonist-bound-rep_1,D4R:inactive:nemanopride:deprotonated:1.3us,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/D4R-inactive-nemanopride-unpublished/condition-antagonist-bound/rep_1/050516_NONHB_DEFAULT_HB_3.5_70,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/D4R-inactive-nemanopride-unpublished/condition-antagonist-bound/rep_1/050616_NONHB_DEFAULT_HB_3.2_70,/scratch/PI/rondror/DesRes-Simulations/subsampled_desres_traj/D4R-inactive-nemanopride-unpublished/condition-antagonist-bound/rep_1,NEMO
D4R,D4DR,drd4_human,inactive,nemanopride,unpublished,antagonist-bound-2,/scratch/PI/rondror/MD_simulations/amber/robin_D4_dopamine/nemonapride/deprotonated/production/03/2,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/D4R-inactive-nemanopride-unpublished/condition-antagonist-bound,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/D4R-inactive-nemanopride-unpublished/condition-antagonist-bound/rep_2,nc,amber,no,A,3,D4R-inactive-nemanopride-unpublished-cond-antagonist-bound-rep_2,D4R:inactive:nemanopride:deprotonated:1.5us,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/D4R-inactive-nemanopride-unpublished/condition-antagonist-bound/rep_2/050516_NONHB_DEFAULT_HB_3.5_70,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/D4R-inactive-nemanopride-unpublished/condition-antagonist-bound/rep_2/050616_NONHB_DEFAULT_HB_3.2_70,/scratch/PI/rondror/DesRes-Simulations/subsampled_desres_traj/D4R-inactive-nemanopride-unpublished/condition-antagonist-bound/rep_2,NEMO
D4R,D4DR,drd4_human,inactive,nemanopride,unpublished,antagonist-bound-3,/scratch/PI/rondror/MD_simulations/amber/robin_D4_dopamine/nemonapride/deprotonated/production/03/3,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/D4R-inactive-nemanopride-unpublished/condition-antagonist-bound,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/D4R-inactive-nemanopride-unpublished/condition-antagonist-bound/rep_3,nc,amber,no,A,3,D4R-inactive-nemanopride-unpublished-cond-antagonist-bound-rep_3,D4R:inactive:nemanopride:deprotonated:1.50us,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/D4R-inactive-nemanopride-unpublished/condition-antagonist-bound/rep_3/050516_NONHB_DEFAULT_HB_3.5_70,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/D4R-inactive-nemanopride-unpublished/condition-antagonist-bound/rep_3/050616_NONHB_DEFAULT_HB_3.2_70,/scratch/PI/rondror/DesRes-Simulations/subsampled_desres_traj/D4R-inactive-nemanopride-unpublished/condition-antagonist-bound/rep_3,NEMO
DOR,4N6H,oprd_human,inactive,naltrindole,unpublished,naltrindole-bound-1,/scratch/PI/rondror/MD_simulations/amber/DOR/4N6H/rep1,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/DOR-inactive-naltrindole-unpublished/condition-naltrindole-bound,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/DOR-inactive-naltrindole-unpublished/condition-naltrindole-bound/rep_1,nc,amber,no,A,3,DOR-inactive-naltrindole-unpublished-condition-naltrindole-bound-rep_1,DOR:inactive:naltrindole:3.0us,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/DOR-inactive-naltrindole-unpublished/condition-naltrindole-bound/rep_1/050516_NONHB_DEFAULT_HB_3.5_70,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/DOR-inactive-naltrindole-unpublished/condition-naltrindole-bound/rep_1/050616_NONHB_DEFAULT_HB_3.2_70,/scratch/PI/rondror/DesRes-Simulations/subsampled_desres_traj/DOR-inactive-naltrindole-unpublished/condition-naltrindole-bound/rep_1,EJ4
DOR,4N6H,oprd_human,inactive,naltrindole,unpublished,naltrindole-bound-2,/scratch/PI/rondror/MD_simulations/amber/DOR/4N6H/rep2,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/DOR-inactive-naltrindole-unpublished/condition-naltrindole-bound,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/DOR-inactive-naltrindole-unpublished/condition-naltrindole-bound/rep_2,nc,amber,no,A,3,DOR-inactive-naltrindole-unpublished-condition-naltrindole-bound-rep_2,DOR:inactive:naltrindole:1.3us,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/DOR-inactive-naltrindole-unpublished/condition-naltrindole-bound/rep_2/050516_NONHB_DEFAULT_HB_3.5_70,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/DOR-inactive-naltrindole-unpublished/condition-naltrindole-bound/rep_2/050616_NONHB_DEFAULT_HB_3.2_70,/scratch/PI/rondror/DesRes-Simulations/subsampled_desres_traj/DOR-inactive-naltrindole-unpublished/condition-naltrindole-bound/rep_2,EJ4
DOR,4N6H,oprd_human,inactive,naltrindole,unpublished,naltrindole-bound-3,/scratch/PI/rondror/MD_simulations/amber/DOR/4N6H/rep3,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/DOR-inactive-naltrindole-unpublished/condition-naltrindole-bound,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/DOR-inactive-naltrindole-unpublished/condition-naltrindole-bound/rep_3,nc,amber,no,A,3,DOR-inactive-naltrindole-unpublished-condition-naltrindole-bound-rep_3,DOR:inactive:naltrindole:2.0us,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/DOR-inactive-naltrindole-unpublished/condition-naltrindole-bound/rep_3/050516_NONHB_DEFAULT_HB_3.5_70,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/DOR-inactive-naltrindole-unpublished/condition-naltrindole-bound/rep_3/050616_NONHB_DEFAULT_HB_3.2_70,/scratch/PI/rondror/DesRes-Simulations/subsampled_desres_traj/DOR-inactive-naltrindole-unpublished/condition-naltrindole-bound/rep_3,EJ4
M2R,3UON,acm2_human,inactive,QNB,"Dror et al., Nature 2013",AE,/scratch/PI/rondror/DesRes-Simulations/ordered-from-DesRes/nature2013/DESRES-Trajectory_nature2013-AE-all/DESRES-Trajectory_nature2013-AE-64-all/nature2013-AE-64-all,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/M2R-inactive-QNB-nature2013/condition-AE,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/M2R-inactive-QNB-nature2013/condition-AE/rep_1,dcd,anton,no,A,0,M2R-inactive-QNB-nature2013-condAE-rep_1,M2R:inactive:QNB-orthosteric-no-allosteric:10us,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/M2R-inactive-QNB-nature2013/condition-AE/rep_1/050516_NONHB_DEFAULT_HB_3.5_70,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/M2R-inactive-QNB-nature2013/condition-AE/rep_1/050616_NONHB_DEFAULT_HB_3.2_70,/scratch/PI/rondror/DesRes-Simulations/subsampled_desres_traj/M2R-inactive-QNB-nature2013/condition-AE/rep_1,qnb
M2R,3UON,acm2_human,inactive,QNB,"Kruse et al., Nature 2012",A,/scratch/PI/rondror/DesRes-Simulations/ordered-from-DesRes/nature2012/DESRES-Trajectory_nature2012-A-M2-QNB-all.1/nature2012-A-M2-QNB-all,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/M2R-inactive-QNB-nature2012/condition-A,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/M2R-inactive-QNB-nature2012/condition-A/rep_1,dcd,anton,no,P,1,M2R-inactive-QNB-nature2012-condA-rep_1,M2R:inactive:QNB-orthosteric:16.4us,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/M2R-inactive-QNB-nature2012/condition-A/rep_1/050516_NONHB_DEFAULT_HB_3.5_70,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/M2R-inactive-QNB-nature2012/condition-A/rep_1/050616_NONHB_DEFAULT_HB_3.2_70,/scratch/PI/rondror/DesRes-Simulations/subsampled_desres_traj/M2R-inactive-QNB-nature2012/condition-A/rep_1,QNBP
MOR,4DKL,oprm_mouse,inactive,bFNA,"Huang et al., Nature 2015",bFNA-bound-1,/scratch/PI/rondror/MD_simulations/amber/MOR_inactive_waters/bfna_bonded/rep_1,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/MOR-inactive-bFNA-nature2015/condition-bFNA-bound,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/MOR-inactive-bFNA-nature2015/condition-bFNA-bound/rep_1,nc,amber,no,"A,B",0,MOR-inactive-bFNA-nature2015-rep_1,MOR:inactive:bFNA-antagonist-bound_to_K233:1.21us,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/MOR-inactive-bFNA-nature2015/condition-bFNA-bound/rep_1/050516_NONHB_DEFAULT_HB_3.5_70,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/MOR-inactive-bFNA-nature2015/condition-bFNA-bound/rep_1/050616_NONHB_DEFAULT_HB_3.2_70,/scratch/PI/rondror/DesRes-Simulations/subsampled_desres_traj/MOR-inactive-bFNA-nature2015/condition-bFNA-bound/rep_1,BF0
MOR,4DKL,oprm_mouse,inactive,bFNA,"Huang et al., Nature 2015",bFNA-bound-2,/scratch/PI/rondror/MD_simulations/amber/MOR_inactive_waters/bfna_bonded/rep_2,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/MOR-inactive-bFNA-nature2015/condition-bFNA-bound,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutput/MOR-inactive-bFNA-nature2015/condition-bFNA-bound/rep_2,nc,amber,no,"A,B",0,MOR-inactive-bFNA-nature2015-rep_2,MOR:inactive:bFNA-antagonist-bound_to_K233:1.42us,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/MOR-inactive-bFNA-nature2015/condition-bFNA-bound/rep_2/050516_NONHB_DEFAULT_HB_3.5_70,/scratch/PI/rondror/akma327/DynamicNetworks/data/DynamicNetworksOutput/InteractionOutputDictionary/MOR-inactive-bFNA-nature2015/condition-bFNA-bound/rep_2/050616_NONHB_DEFAULT_HB_3.2_70,/scratch/PI/rondror/DesRes-Simulations/subsampled_desres_traj/MOR-inactive-bFNA-nature2015/condition-bFNA-bound/rep_2,BF0
